Year/Mont,route_or_line,average_monthly_ridership,countofdates,ObjectId
2022/05,Green Line,88442,31,449
2022/06,Green Line,90373,30,658
2022/07,Green Line,104072,31,667
2022/08,Green Line,98694,31,676
2022/09,Green Line,115143,30,685
2022/10,Green Line,111519,31,694
2022/11,Green Line,105420,30,933
2022/12,Green Line,91608,31,942
2023/01,Green Line,97412,31,951
2023/02,Green Line,104353,28,960
2023/03,Green Line,106042,31,969
2023/04,Green Line,112635,30,978
2023/05,Green Line,108526,31,987
2023/06,Green Line,102534,30,996
2023/07,Green Line,83184,31,809
2023/08,Green Line,85251,31,818
2023/09,Green Line,86545,30,827
2023/10,Green Line,87772,31,836
2023/11,Green Line,75651,30,845
2023/12,Green Line,62040,31,855
2024/01,Green Line,34603,31,864
2024/02,Green Line,64959,29,872
2024/03,Green Line,71236,31,881
2024/04,Green Line,88695,30,890
2024/05,Green Line,84101,31,899
2024/06,Green Line,86099,30,908
2024/07,Green Line,83136,31,917
2024/08,Green Line,88092,31,926
2016/01,Orange Line,170255,31,58
2016/02,Orange Line,180076,29,69
2016/03,Orange Line,190110,31,80
2016/04,Orange Line,185905,30,91
2016/05,Orange Line,177418,31,152
2016/06,Orange Line,184054,30,163
2016/07,Orange Line,168650,31,175
2016/08,Orange Line,172595,31,186
2016/09,Orange Line,184787,30,197
2016/10,Orange Line,180047,31,306
2016/11,Orange Line,175258,30,319
2016/12,Orange Line,158202,31,330
2017/01,Orange Line,159300,33,341
2017/02,Orange Line,166101,28,168
2017/03,Orange Line,173617,31,212
2017/04,Orange Line,174984,30,223
2017/05,Orange Line,176618,31,234
2017/06,Orange Line,182835,30,245
2017/07,Orange Line,164394,31,4
2017/08,Orange Line,171815,31,17
2017/09,Orange Line,177833,30,28
2017/10,Orange Line,182734,31,39
2017/11,Orange Line,170360,30,50
2017/12,Orange Line,148385,31,361
2018/01,Orange Line,146175,33,372
2018/02,Orange Line,166910,28,383
2018/03,Orange Line,162473,31,394
2018/04,Orange Line,175984,30,105
2018/05,Orange Line,177295,31,116
2018/06,Orange Line,176498,30,127
2018/07,Orange Line,162244,31,136
2018/08,Orange Line,163161,31,145
2018/09,Orange Line,164986,30,254
2018/10,Orange Line,180050,31,263
2018/11,Orange Line,165025,30,272
2018/12,Orange Line,143780,31,281
2019/01,Orange Line,155662,31,290
2019/02,Orange Line,159951,28,299
2019/03,Orange Line,161161,31,515
2019/04,Orange Line,174197,30,533
2019/05,Orange Line,172739,31,548
2019/06,Orange Line,169356,30,557
2019/07,Orange Line,172591,31,566
2019/08,Orange Line,168419,31,603
2019/09,Orange Line,179046,30,612
2019/10,Orange Line,169618,31,621
2019/11,Orange Line,156028,30,630
2019/12,Orange Line,148636,31,639
2020/01,Orange Line,162637,31,648
2020/02,Orange Line,157173,29,457
2020/03,Orange Line,84337,31,466
2020/04,Orange Line,15461,30,476
2020/05,Orange Line,17678,31,485
2020/06,Orange Line,29292,30,494
2020/07,Orange Line,38284,31,504
2020/08,Orange Line,41828,31,522
2020/09,Orange Line,50297,30,540
2020/10,Orange Line,50786,31,579
2020/11,Orange Line,44858,30,588
2020/12,Orange Line,39363,31,597
2021/01,Orange Line,40509,31,756
2021/02,Orange Line,43380,28,765
2021/03,Orange Line,46779,31,774
2021/04,Orange Line,50928,30,783
2021/05,Orange Line,57265,31,792
2021/06,Orange Line,66515,30,698
2021/07,Orange Line,72042,31,710
2021/08,Orange Line,75867,31,719
